"Species","Presence","Scfa_produced","Description"
"Bifidobacterium longum","+","Acetate, Lactate","It is shown to have anti-inflammatory properties, plays role in immunoregulation, and decreasing the infection risk. It is also used as a commercial probiotic to restore gut health."
"Bifidobacterium bifidum","+","Acetate, Lactate","It is a bacteria known for their ability to ferment carbohydrates, help with digestion, nutrient absorption, and fighting off ""bad"" organisms that can cause disease."
"Bifidobacterium catenulatum","+","Acetate","It is shown to inhibit harmful pathogens, contribute to the maintenance of a balanced microbiome and support overall gut health and immune function."
"Faecalibacterium prausnitzii","+","Butyrate, Acetate","It is one of the most abundant bacterial species found in the gut. It is known for it's anti-inflammatory properties and importance in gut health."
"Blautia wexlerae","+","Not available","It is shown to alter energy metabolism of the host and anti-inflammatory properties. It is also shown to change the composition of the gut microbiome."
"Roseburia faecis","+","Butyrate","It is shown to modulate immune response, reduce inflammation, improve symptoms of irritable bowel syndrome (IBS), and enhance the overall composition of the gut microbiota."
"Fusicatenibacter saccharivorans","+","Lactate, Acetate, Succinate","It is bacterial species shown to have the ability to reduce inflammation, improve colitis symptoms, and restore gut microbiota balance in patients with ulcerative colitis."
"Alistipes putredinis","+","Acetate, Propionate, Butyrate","It is a bacteria from the phylum Bacteroidetes. It has been shown to have anti-inflammatory properties."
"Ruminococcus bromii","+","Acetate, Propionate, Butyrate","It is bacteria which breaks down complex carbohydrates, producing short-chain fatty acids important for colon health. It also helps promote gut microbiome balance."
"Coprococcus catus","+","Butyrate, Acetate","It is a bacteria that plays an important role in fermenting dietary fibers and producing propionate, butyrate and supports gut health."
"Bifidobacterium breve","+","Acetate, Lactate","It is shown to have antimicrobial activity against human pathogens and immuno-stimulating properties."
"Bifidobacterium adolescentis","-","Acetate, Propionate, Lactate","It is shown to have anti-inflammatory and anti-oxidant properties. It is also used as a probiotic to restore gut health."
"Prevotella copri","-","Butyrate","It produces short-chain fatty acids (SCFAs) that protect the mucosal barrier and reduce inflammation. It has been associated with reduction of visceral fat and improved glucose metabolism."
"Lactobacillus ruminis","-","Not available","It inhibits harmful pathogens, enhances carbohydrate utilization for energy, and helps maintain a balanced microbial community, thereby supporting digestion and overall immune function."
"Roseburia intestinalis","-","Butyrate","It is shown to prevent intestinal inflammation and maintain energy homeostasis. It is also considered as a potential probiotic for treating gut associated disorders."
"Roseburia hominis","-","Butyrate","It is a bacteria known to produce beneficial short-chain fatty acids (SCFAs) and it has been shown to reduce neuroinflammation."
